Institution_Name,Institution_Address,Institution_City,Institution_State
Alpena Community College,665 Johnson Street,Alpena,MI
Andrews University,100 Old US 31 North,Berrien Springs,MI
Aquinas College,1607 Robinson Rd SE,Grand Rapids,MI
Baker College,1050 West Bristol Road,Flint,MI
Bay de Noc Community College,2001 N Lincoln Road,Escanaba,MI
Bayshire Beauty Academy,917 Saginaw Street,Bay City,MI
Calvin College,3201 Burton Street SE,Grand Rapids,MI
Calvin Theological Seminary,3233 Burton St SE,Grand Rapids,MI
Carnegie Institute,"550 Stephenson Hwy, ste 100",Troy,MI
Michigan School of Professional Psychology,26811 Orchard Lake Rd.,Farmington Hills,MI
Central Michigan University,106 Warriner Hall,Mount Pleasant,MI
Charles Stewart Mott Community College,1401 E. Court St.,Flint,MI
Empire Beauty School - Grand Rapids,1735 Four Mile NE,Grand Rapids,MI
Cleary University,3601 Plymouth Rd,Ann Arbor,MI
Concordia University,4090 Geddes Rd.,Ann Arbor,MI
Cranbrook Academy of Art,"39221 Woodward Avenue, P.O. Box 801",Bloomfield Hills,MI
College for Creative Studies,201 East Kirby Street,Detroit,MI
Davenport University,6191 Kraft Avenue S.E.,Grand Rapids,MI
David Pressley Professional School of Cosmetology,1127 South Washington Street,Royal Oak,MI
Delta College,1961 Delta Road,University Center,MI
Detroit Business Institute - Downriver,19100 Fort St,Riverview,MI
MIAT College of Technology,2955 South Haggerty Road,Canton,MI
University of Detroit Mercy,4001 W McNichols Rd,Detroit,MI
Dorsey School of Business,15755 Northline Road,Southgate,MI
Eastern Michigan University,202 Welch,Ypsilanti,MI
Ferris State University,1201 S. State Street,Big Rapids,MI
Flint Institute of Barbering Inc,3214 Flushing Rd,Flint,MI
Focus:  HOPE Machinist Training Institute,1200 Oakman Boulevard,Detroit,MI
Glen Oaks Community College,62249 Shimmel Rd,Centreville,MI
Kettering University,1700 University Ave,Flint Township,MI
Gogebic Community College,E 4946 Jackson Rd,Ironwood,MI
Grace Bible College,"1011 Aldon Street SW, PO Box 910",Wyoming,MI
Cornerstone University,1001 E Beltline Ave NE,Grand Rapids,MI
Everest Institute - Grand Rapids,1750 Woodworth St NE,Grand Rapids,MI
Grand Rapids Community College,143 Bostwick Ave NE,Grand Rapids,MI
Grand Valley State University,1 Campus Dr,Allendale,MI
Great Lakes Christian College,6211 W Willow Hwy,Lansing,MI
Henry Ford College,5101 Evergreen Rd.,Dearborn,MI
Henry Ford Hospital,2799 West Grand Blvd.,Detroit,MI
Hillsdale College,33 E. College Street,Hillsdale,MI
Hope College,141 E 12th St,Holland,MI
Howell College of Cosmetology,1800 Dorr Rd,Howell,MI
Jackson Community College,2111 Emmons Rd,Jackson,MI
Wright Beauty Academy,6666 Lovers Ln,Portage,MI
Kalamazoo College,1200 Academy St,Kalamazoo,MI
Kalamazoo Valley Community College,6767 West O Ave,Kalamazoo,MI
Kellogg Community College,450 North Ave,Battle Creek,MI
Kirtland Community College,10775 N Saint Helen Road,Roscommon,MI
Michigan College of Beauty - Monroe,1020 South Monroe Street,Monroe,MI
Lake Michigan College,2755 E Napier Ave,Benton Harbor,MI
Lake Superior State University,650 W Easterday Ave,Sault Ste Marie,MI
Lansing Community College,419 N Capitol Ave,Lansing,MI
Lawrence Technological University,21000 W Ten Mile Rd,Southfield,MI
Lewis College of Business,17370 Meyers Rd,Detroit,MI
M J Murphy Beauty College of Mount Pleasant,201 W Broadway,Mount Pleasant,MI
Macomb Community College,14500 E Twelve Mile Rd,Warren,MI
Madonna University,36600 Schoolcraft Rd,Livonia,MI
Marquette General Hospital,420 W Magnetic St,Marquette,MI
Marygrove College,8425 W McNichols Rd,Detroit,MI
Rochester College,800 W Avon Rd,Rochester Hills,MI
University of Michigan - Ann Arbor,2074 Fleming Administration Building,Ann Arbor,MI
Michigan Barber School Inc,8988-90 Grand River Avenue,Detroit,MI
Michigan State University,450 Administration Bldg.,East Lansing,MI
Michigan Technological University,1400 Townsend Drive,Houghton,MI
University of Michigan - Dearborn,4901 Evergreen Rd,Dearborn,MI
University of Michigan - Flint,303 E Kearsley,Flint,MI
Mid Michigan Community College,1375 S Clare Ave,Harrison,MI
Monroe County Community College,1555 South  Raisinville Road,Monroe,MI
Montcalm Community College,2800 College Dr,Sidney,MI
Mr Bela's School of Cosmetology Inc,4100 East 11 Mile Road,Warren,MI
Muskegon Community College,221 S Quarterline Rd,Muskegon,MI
Everest College - Skokie,9811 Woods Drive,Skokie,IL
Everest Institute - Southfield,21107 Lahser Road,Southfield,MI
North Central Michigan College,1515 Howard St,Petoskey,MI
Northern Michigan University,1401 Presque Isle,Marquette,MI
Paul Mitchell The School Escanaba,1625 Sheridan Rd,Escanaba,MI
Northwestern Michigan College,1701 E Front St,Traverse City,MI
Northwood University,4000 Whiting Dr,Midland,MI
Oakland Community College,2480 Opdyke Rd,Bloomfield Hills,MI
Oakland University,2200 North Squirrel Road,Rochester,MI
Olivet College,320 South Main Street,Olivet,MI
Michigan College of Beauty - Waterford,5620 Dixie Hwy,Waterford,MI
Kuyper College,3333 East Beltline N.E.,Grand Rapids,MI
Ross Medical Education Center,4106 West Saginaw Highway,Lansing,MI
Sacred Heart Major Seminary,2701 Chicago Blvd,Detroit,MI
Saginaw Valley State University,7400 Bay Rd,University Center,MI
St. John Hospital & Medical Center,22101 Moross Road,Detroit,MI
SS. Cyril & Methodius Seminary,3535 Indian Trail,Orchard Lake,MI
Schoolcraft College,18600 Haggerty Road,Livonia,MI
Siena Heights University,E 1247 Siena Heights Dr,Adrian,MI
St Clair County Community College,323 Erie,Port Huron,MI
Southwestern Michigan College,58900 Cherry Grove Rd,Dowagiac,MI
Specs Howard School of Media Arts,19900 W Nine Mile Rd,Southfield,MI
Spring Arbor University,106 E. Main St,Spring Arbor,MI
"State College of Beauty, Inc",4567 Washtenaw Street,Ann Arbor,MI
Michigan Career and Technical Institute,11611 West Pine Lake Road,Plainwell,MI
Finlandia University,601 Quincy St,Hancock,MI
Thomas M. Cooley Law School,300 S Capitol Ave,Lansing,MI
Twin City Beauty College,2600 Lincoln Avenue,Saint Joseph,MI
Virginia Farrell Beauty School,23620 Harper Rd,Saint Clair Shores,MI
Walsh College of Accountancy and Business Administration,3838 Livernois,Troy,MI
Washtenaw Community College,4800 E Huron River Dr,Ann Arbor,MI
Wayne County Community College District,801 W Fort St,Detroit,MI
Wayne State University,656 West Kirby Street,Detroit,MI
West Shore Community College,3000 N Stiles Rd,Scottville,MI
Western Michigan University,1903 West Michigan Avenue,Kalamazoo,MI
Western Theological Seminary,101 E 13th St,Holland,MI
Beaumont Health,3601 W. Thirteen Mile Road,Royal Oak,MI
William Tyndale College,35700 W Twelve Mile Road,Farmington Hills,MI
Academy College,1600 W. 82nd Street,Bloomington,MN
Alexandria Technical College,1601 Jefferson Streeet,Alexandria,MN
Takoda Institute of Higher Education a Division of American Indian OIC,1845 E. Franklin Ave,Minneapolis,MN
Anoka Technical College,1355 W Hwy 10,Anoka,MN
Anoka-Ramsey Community College,11200 Mississippi Blvd. NW,Coon Rapids,MN
Art Instruction Schools,"6465 Wayzata Boulevard, Suite 240",Minneapolis,MN
Augsburg College,2211 Riverside Ave,Minneapolis,MN
Riverland Community College,1900 8th Ave NW,Austin,MN
Northwest Technical College,905 Grant Avenue SE,Bemidji,MN
Bemidji State University,1500 Birchmont Drive NE,Bemidji,MN
Bethany Lutheran College,700 Luther Dr,Mankato,MN
Bethel University,3900 Bethel Drive,St. Paul,MN
Central Lakes College,501 West College Drive,Brainerd,MN
Carleton College,One North College Street,Northfield,MN
Concordia College,901 S. 8th St.,Moorhead,MN
"Concordia University, St. Paul",1282 Concordia Ave,St. Paul,MN
Dakota County Technical College,1300  145th Street East,Rosemount,MN
Martin Luther College,1995 Luther Court,New Ulm,MN
Lake Superior College,2101 Trinity Rd,Duluth,MN
"Cosmetology Careers Unlimited College of Hair, Skin, and Nails - Duluth",121 West Superior Street,Duluth,MN
Duluth Business University,4724 Mike Colalillo Drive,Dultuh,MN
Minnesota State Community and Technical College,1414 College Way,Fergus Falls,MN
Globe University,8089 Globe Drive,Woodbury,MN
Minnesota West Community and Technical College,1593 11th Ave,Granite Falls,MN
Gustavus Adolphus College,800 West College Avenue,Saint Peter,MN
Hamline University,1536 Hewitt Avenue,Saint Paul,MN
Hennepin Technical College,9000 Brooklyn Blvd,Brooklyn Park,MN
"Cosmetology Careers Unlimited College of Hair, Skin, and Nails- Hibbing",2534 East Beltline,Hibbing,MN
Hibbing Community College,1515 E. 25th St.,Hibbing,MN
Aveda Institute,400 Central Ave SE,Minneapolis,MN
Inver Hills Community College,2500 80th Street East,Inver Grove Heights,MN
Itasca Community College,1851 East Highway 169,Grand Rapids,MN
The Art Institutes International Minnesota,15 S 9th St,Minneapolis,MN
Luther Seminary,2481 Como Ave.,St. Paul,MN
Macalester College,1600 Grand Avenue,St. Paul,MN
South Central College,1920 Lee Blvd,North Mankato,MN
Minnesota State University - Mankato,309 Wigley Administration Center,Mankato,MN
Regency Beauty Institute,"1351 113th Avenue, NE, Suite #400",Blaine,MN
Mayo Clinic College of Medicine,200 First St SW,Rochester,MN
Mesabi Range College,1001 Chestnut St W,Virginia,MN
Methodist Hospital,6500 Excelsior Blvd.,St. Louis Park,MN
Metropolitan State University,700 E Seventh St,Saint Paul,MN
University of Minnesota - Twin Cities,"202 Morrill Hall, 100 Church Street SE",Minneapolis,MN
University of Minnesota - Crookston,2900 University Ave,Crookston,MN
Minneapolis Business College,1711 W County Rd B,Roseville,MN
Minneapolis College of Art and Design,2501 Stevens Ave,Minneapolis,MN
Minneapolis Community and Technical College,1501 Hennepin Ave,Minneapolis,MN
Minneapolis School of Anesthesia,6715 Minnetonka Boulevard,St. Louis Park,MN
Minnesota School of Cosmetology,1750 Weir Drive,Woodbury,MN
Crossroads College,920 Mayowood Rd SW,Rochester,MN
University of Minnesota - Morris,600 East 4th Street,Morris,MN
Minnesota School of Business,1401 W 76 St,Richfield,MN
Model College of Hair Design,201 Eighth Ave S,Saint Cloud,MN
Minnesota State University - Moorhead,1104 7th Ave S,Moorhead,MN
North Hennepin Community College,7411 85th Ave N,Brooklyn Park,MN
Normandale Community College,9700 France Ave S,Bloomington,MN
North Central University,910 Elliot Ave,Minneapolis,MN
Northland Community and Technical College,1101 Hwy # 1 East,Thief River Falls,MN
University of Northwestern - St. Paul,3003 Snelling Ave N,Saint Paul,MN
Northwestern Health Sciences University,2501 W 84th St,Bloomington,MN
Oak Hills Christian College,1600 Oak Hills Rd SW,Bemidji,MN
Pillsbury Baptist Bible College,315 S Grove,Owatonna,MN
Pine Technical and Community College,900 4th St. SE,Pine City,MN
Rainy River Community College,1501 Hwy 71,International Falls,MN
Rice Memorial Hospital,301 Becker Ave. S.W.,Willmar,MN
Ing'enue Beauty School,1024 Center Avenue,Moorhead,MN
Rochester Community and Technical College,851 30th Ave SE,Rochester,MN
College of Saint Benedict,37 S College Ave,Saint Joseph,MN
Saint Cloud Technical College,1540 Northway Drive,Saint Cloud,MN
Saint Cloud State University,720 Fourth Ave. South,Saint Cloud,MN
Saint Johns University,PO Box 2000,Collegeville,MN
Saint Mary's University of Minnesota,700 Terrace Heights,Winona,MN
St. Olaf College,1520 St Olaf Ave,Northfield,MN
Crown College,8700 College View Drive,Saint Bonifacius,MN
College of Saint Scholastica,1200 Kenwood Ave.,Duluth,MN
University of St. Thomas,2115 Summit Ave,Saint Paul,MN
College of Visual Arts,344 Summit Ave.,St. Paul,MN
St. Catherine University,2004 Randolph Ave.,St. Paul,MN
Saint Paul College - A Community and Technical College,235 Marshall Ave,Saint Paul,MN
Southwest Minnesota State University,1501 State Street,Marshall,MN
Summit Academy Opportunities Industrialization Center,935 Olson Memorial Hwy,Minneapolis,MN
United Theological Seminary of the Twin Cities,3000 Fifth St NW,New Brighton,MN
Scot Lewis Schools,4124 Lancaster Ln,Plymouth,MN
Vermilion Community College,1900 E Camp St,Ely,MN
Dunwoody College of Technology,818 Dunwoody Blvd,Minneapolis,MN
Ridgewater College,2101 15th Ave NW,Willmar,MN
Minnesota State College-Southeast Technical,1250 Homer Rd,Winona,MN
Winona State University,8th and Johnson St,Winona,MN
Mitchell-Hamline School of Law,875 Summit Ave,Saint Paul,MN
Century College,3300 Century Ave. North,White Bear Lake,MN
Alcorn State University,1000 ASU Dr Ste 359,Alcorn State,MS
Belhaven University,1500 Peachtree St,Jackson,MS
Blue Mountain College,201 W Main St,Blue Mountain,MS
Academy of Hair Design Seven,215 HWY 35 N,Carthage,MS
Chris Beauty College,1265 Pass Rd,Gulfport,MS
Coahoma Community College,3240 Friars Point Rd,Clarksdale,MS
Antonelli College - Jackson,2323 Lakeland Drive,Jackson,MS
Copiah-Lincoln Community College,1028 J.C. Redd Drive,Wesson,MS
Creations College of Cosmetology,2419 W Main St,Tupelo,MS
Delta Beauty College,697 Delta Plaza,Greenville,MS
Delta State University,1003 West Sunflower Road,Cleveland,MS
East Central Community College,275 West Broad Street,Decatur,MS
East Mississippi Community College,1512 Kemper Street,Scooba,MS
Foster's Cosmetology College,1813 Highway 15 North,Ripley,MS
Gibson's Barber and Beauty College,"120 East Main Street, P.O. Box 990",West Point,MS
Hinds Community College,501 E Main St,Raymond,MS
Holmes Community College,#1 Hill St,Goodman,MS
Itawamba Community College,602 West Hill Street,Fulton,MS
Jackson State University,1440 J R Lynch St,Jackson,MS
Jones County Junior College,900 S Court St,Ellisville,MS
Magnolia Bible College,822 S Huntington St,Kosciusko,MS
Meridian Community College,910 Hwy 19 N,Meridian,MS
Millsaps College,1701 N State St,Jackson,MS
Mississippi Delta Community College,Hwy 3 and Cherry St,Moorhead,MS
University of Mississippi,145 Martindale,University,MS
Mississippi University for Women,1100 College Street,Columbus,MS
Mississippi Valley State University,14000 Highway 82 West,Itta Bena,MS
Mississippi College,200 South Capitol Street,Clinton,MS
Mississippi College of Beauty Culture,732 Sawmill Rd,Laurel,MS
Mississippi Gulf Coast Community College,51 Main Street,Perkinston,MS
Mississippi State University,610 Allen Hall,Mississippi State,MS
Northeast Mississippi Community College,101 Cunningham Boulevard,Booneville,MS
Northwest Mississippi Community College,4975 Highway 51 North,Senatobia,MS
Pearl River Community College,101 Highway 11N,Poplarville,MS
Rust College,150 Rust Ave,Holly Springs,MS
Southeastern Baptist College,4229 Hwy 15 N,Laurel,MS
Southwest Mississippi Community College,1156 College Drive,Summit,MS
University of Southern Mississippi,118 College Drive # 0001,Hattiesburg,MS
Magnolia College of Cosmetology,4725 I55 N,Jackson,MS
Tougaloo College,500 W County Line Rd,Tougaloo,MS
ICS the Wright Beauty College,2077 Hwy 72 E,Corinth,MS
Wesley Biblical Seminary,PO Box 9938,Jackson,MS
William Carey University,498 Tuscan Ave,Hattiesburg,MS
Abbott Academy of Cosmetology Arts and Sciences,2101 Parkway Dr,Saint Peters,MO
Anthem College - Maryland Heights,"13723 Riverport Drive, Suite 103",Maryland Heights,MO
Aquinas Institute of Theology,23 South Spring Avenue,St. Louis,MO
Assemblies of God Theological Seminary,1435 N Glenstone Ave,Springfield,MO
Avila University,11901 Wornall Rd,Kansas City,MO
Baptist Bible College and Graduate School of Theology,628 E Kearney Street,Springfield,MO
House of Heavilin Beauty College - Blue Springs,2000 SW State Route 7,Blue Springs,MO
Boonslick Technical Education Center,1694 Ashley Rd,Boonville,MO
Cox College,1423 N. Jefferson Ave.,Springfield,MO
Calvary University,15800 Calvary Road,Kansas City,MO
